1/   50 | d_loss: 1.3879 | g_loss: 0.6927
1/   50 | d_loss: 0.4709 | g_loss: 0.4271
1/   50 | d_loss: 0.4818 | g_loss: 0.3304
1/   50 | d_loss: 0.8229 | g_loss: 0.5046
1/   50 | d_loss: 1.9243 | g_loss: 0.5823
1/   50 | d_loss: 0.8146 | g_loss: 0.4401
2/   50 | d_loss: 0.4517 | g_loss: 0.3291
2/   50 | d_loss: 0.4508 | g_loss: 0.3257
2/   50 | d_loss: 0.4613 | g_loss: 0.3260
2/   50 | d_loss: 0.4664 | g_loss: 0.3268
2/   50 | d_loss: 0.4818 | g_loss: 0.3253
2/   50 | d_loss: 0.5167 | g_loss: 0.3279
3/   50 | d_loss: 0.5407 | g_loss: 0.3264
3/   50 | d_loss: 0.4540 | g_loss: 0.3260
3/   50 | d_loss: 0.4405 | g_loss: 0.3254
3/   50 | d_loss: 0.4536 | g_loss: 0.3254
3/   50 | d_loss: 0.7029 | g_loss: 0.3360
3/   50 | d_loss: 0.4539 | g_loss: 0.3252
4/   50 | d_loss: 0.4595 | g_loss: 0.3253
4/   50 | d_loss: 0.4792 | g_loss: 0.3259
4/   50 | d_loss: 0.4485 | g_loss: 0.3288
4/   50 | d_loss: 0.4459 | g_loss: 0.3256
4/   50 | d_loss: 0.4463 | g_loss: 0.3251
4/   50 | d_loss: 0.4384 | g_loss: 0.3255
5/   50 | d_loss: 0.4395 | g_loss: 0.3252
5/   50 | d_loss: 0.4689 | g_loss: 0.3255
5/   50 | d_loss: 0.4661 | g_loss: 0.3258
5/   50 | d_loss: 0.4387 | g_loss: 0.3253
5/   50 | d_loss: 0.4374 | g_loss: 0.3252
5/   50 | d_loss: 0.7350 | g_loss: 0.3626
6/   50 | d_loss: 0.4429 | g_loss: 0.3255
6/   50 | d_loss: 0.4536 | g_loss: 0.3253
6/   50 | d_loss: 0.4438 | g_loss: 0.3252
6/   50 | d_loss: 0.4439 | g_loss: 0.3251
6/   50 | d_loss: 0.4343 | g_loss: 0.3255
6/   50 | d_loss: 0.4250 | g_loss: 0.3254
7/   50 | d_loss: 0.4366 | g_loss: 0.3251
7/   50 | d_loss: 0.4372 | g_loss: 0.3251
7/   50 | d_loss: 0.4694 | g_loss: 0.3251
7/   50 | d_loss: 0.4345 | g_loss: 0.3251
7/   50 | d_loss: 0.4739 | g_loss: 0.3252
7/   50 | d_loss: 0.4317 | g_loss: 0.3251
8/   50 | d_loss: 0.4458 | g_loss: 0.3251
8/   50 | d_loss: 0.4550 | g_loss: 0.3265
8/   50 | d_loss: 0.4331 | g_loss: 0.3251
8/   50 | d_loss: 0.4337 | g_loss: 0.3251
8/   50 | d_loss: 0.4339 | g_loss: 0.3251
8/   50 | d_loss: 0.4309 | g_loss: 0.3251
9/   50 | d_loss: 0.4308 | g_loss: 0.3251
9/   50 | d_loss: 0.4283 | g_loss: 0.3252
9/   50 | d_loss: 0.4267 | g_loss: 0.3258
9/   50 | d_loss: 0.4180 | g_loss: 0.3261
9/   50 | d_loss: 0.4152 | g_loss: 0.3268
9/   50 | d_loss: 0.4127 | g_loss: 0.3274
10/   50 | d_loss: 0.4113 | g_loss: 0.3279
10/   50 | d_loss: 0.4082 | g_loss: 0.3285
10/   50 | d_loss: 0.4090 | g_loss: 0.3293
10/   50 | d_loss: 0.4049 | g_loss: 0.3308
10/   50 | d_loss: 0.4057 | g_loss: 0.3334
10/   50 | d_loss: 0.4029 | g_loss: 0.3348
11/   50 | d_loss: 0.4052 | g_loss: 0.3364
11/   50 | d_loss: 0.3994 | g_loss: 0.3343
11/   50 | d_loss: 0.3995 | g_loss: 0.3355
11/   50 | d_loss: 0.4017 | g_loss: 0.3384
11/   50 | d_loss: 0.3990 | g_loss: 0.3401
11/   50 | d_loss: 0.3976 | g_loss: 0.3434
12/   50 | d_loss: 0.3963 | g_loss: 0.3435
12/   50 | d_loss: 0.3933 | g_loss: 0.3435
12/   50 | d_loss: 0.3944 | g_loss: 0.3462
12/   50 | d_loss: 0.3927 | g_loss: 0.3473
12/   50 | d_loss: 0.3936 | g_loss: 0.3467
12/   50 | d_loss: 0.3952 | g_loss: 0.3458
13/   50 | d_loss: 0.3974 | g_loss: 0.3437
13/   50 | d_loss: 0.3932 | g_loss: 0.3506
13/   50 | d_loss: 0.3959 | g_loss: 0.3505
13/   50 | d_loss: 0.3999 | g_loss: 0.3487
13/   50 | d_loss: 0.3906 | g_loss: 0.3497
13/   50 | d_loss: 0.3963 | g_loss: 0.3555
14/   50 | d_loss: 0.3906 | g_loss: 0.3584
14/   50 | d_loss: 0.3920 | g_loss: 0.3536
14/   50 | d_loss: 0.3919 | g_loss: 0.3579
14/   50 | d_loss: 0.3820 | g_loss: 0.3594
14/   50 | d_loss: 0.3868 | g_loss: 0.3531
14/   50 | d_loss: 0.3866 | g_loss: 0.3563
15/   50 | d_loss: 0.3896 | g_loss: 0.3513
15/   50 | d_loss: 0.3911 | g_loss: 0.3496
15/   50 | d_loss: 0.3884 | g_loss: 0.3518
15/   50 | d_loss: 0.3889 | g_loss: 0.3558
15/   50 | d_loss: 0.3920 | g_loss: 0.3634
15/   50 | d_loss: 0.3908 | g_loss: 0.3543
16/   50 | d_loss: 0.3943 | g_loss: 0.3543
16/   50 | d_loss: 0.3931 | g_loss: 0.3600
16/   50 | d_loss: 0.3920 | g_loss: 0.3544
16/   50 | d_loss: 0.3935 | g_loss: 0.3486
